Player,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Tariq Abdul-Wahad,1999,SG,24,SAC,49,49,24.6,3.6,8.3,0.435,0.1,0.4,0.286,3.5,7.9,0.443,0.442,1.9,2.8,0.691,1.5,2.3,3.8,1,1,0.3,1.4,2.5,9.3
Shareef Abdur-Rahim,1999,SF,22,VAN,50,50,40.4,7.7,17.9,0.432,0.2,0.7,0.306,7.5,17.1,0.438,0.438,7.4,8.8,0.841,2.3,5.2,7.5,3.4,1.4,1.1,3.7,2.7,23
Cory Alexander,1999,PG,25,DEN,36,4,21.6,2.7,7.2,0.373,0.8,2.9,0.286,1.9,4.3,0.432,0.431,1,1.2,0.841,0.2,1.9,2.1,3.3,1,0.1,1.9,2.1,7.3
Ray Allen*,1999,SG,23,MIL,50,50,34.4,6.1,13.5,0.45,1.5,4.2,0.356,4.6,9.3,0.492,0.505,3.5,3.9,0.903,1.1,3.1,4.2,3.6,1.1,0.1,2.4,2.3,17.1
Peter Aluma,1999,C,25,SAC,2,0,2.5,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0,0,,0.5,0.5,1,0,0.5,0.5,1,2,1
Derek Anderson,1999,SG,24,CLE,38,13,25.7,3.3,8.3,0.398,0.6,1.8,0.304,2.7,6.4,0.424,0.432,3.6,4.3,0.836,0.5,2.3,2.9,3.8,1.3,0.1,2.2,1.9,10.8
Kenny Anderson,1999,PG,28,BOS,34,33,29.7,4.7,10.5,0.451,0.2,0.7,0.25,4.6,9.8,0.465,0.459,2.5,3,0.832,0.7,2.3,3,5.7,1,0.1,2.1,2.3,12.1
Nick Anderson,1999,SF,31,ORL,47,39,33.6,5.4,13.6,0.395,2,5.9,0.347,3.3,7.7,0.433,0.47,2.1,3.4,0.611,1.1,4.8,5.9,1.9,1.4,0.3,1.8,1.5,14.9
Shandon Anderson,1999,SG,25,UTA,50,2,21.4,3.2,7.3,0.446,0.3,0.8,0.341,3,6.4,0.46,0.466,1.8,2.5,0.712,1,1.7,2.6,1.1,0.8,0.2,1.3,1.8,8.5
Chris Anstey,1999,C,24,DAL,41,4,11.5,1.2,3.4,0.36,0,0.2,0,1.2,3.2,0.379,0.36,0.8,1.2,0.708,0.9,1.5,2.4,0.7,0.4,0.3,0.6,2.4,3.3
Greg Anthony,1999,PG,31,POR,50,0,16.1,2.1,5,0.414,1,2.5,0.392,1.1,2.5,0.437,0.512,1.2,1.8,0.697,0.3,1,1.3,2,1.3,0.1,1.1,1.5,6.4
B.J. Armstrong,1999,PG,31,TOT,32,1,11.2,1.3,2.8,0.455,0.2,0.5,0.467,1,2.3,0.452,0.494,0.6,0.7,0.857,0.1,1.2,1.2,1.9,0.4,0,0.8,1,3.3
B.J. Armstrong,1999,PG,31,CHH,10,1,17.8,2.1,4.3,0.488,0.6,0.8,0.75,1.5,3.5,0.429,0.558,0.9,1,0.9,0.1,1.5,1.6,2.7,0.3,0,1,1.6,5.7
B.J. Armstrong,1999,PG,31,ORL,22,0,8.2,0.9,2,0.422,0,0.3,0.143,0.8,1.7,0.474,0.433,0.4,0.5,0.818,0,1,1,1.5,0.4,0,0.7,0.7,2.2
Darrell Armstrong,1999,PG,30,ORL,50,15,30,4.6,10.4,0.441,1.4,3.8,0.365,3.2,6.7,0.483,0.507,3.2,3.6,0.904,1.1,2.5,3.6,6.7,2.2,0.1,3.2,1.8,13.8
Keith Askins,1999,SF,31,MIA,33,13,12.6,0.6,1.9,0.323,0.2,0.9,0.276,0.4,1,0.364,0.387,0.2,0.2,0.625,0.3,1,1.3,0.3,0.5,0.1,0.4,1.8,1.6
Stacey Augmon,1999,SF,30,POR,48,21,18.2,1.6,3.6,0.448,0,0,0,1.6,3.6,0.453,0.448,1.1,1.6,0.684,1,1.6,2.6,1.2,1.2,0.4,0.6,1.7,4.3
Isaac Austin,1999,C,29,ORL,49,49,25.7,3.8,9.2,0.408,0,0.1,0.286,3.7,9.1,0.41,0.411,2.1,3.2,0.669,1.7,3.1,4.8,1.8,1,0.7,2.3,2.6,9.7
Anthony Avent,1999,PF,29,UTA,5,0,8.8,0.8,2.6,0.308,0,0,,0.8,2.6,0.308,0.308,0.2,0.4,0.5,1.6,0.8,2.4,0.2,0.4,0,1.4,1.2,1.8
Thurl Bailey,1999,PF,37,UTA,43,0,12.6,1.8,4.1,0.446,0,0,0,1.8,4,0.451,0.446,0.6,0.8,0.735,0.8,1.3,2.2,0.6,0.2,0.7,0.6,1.8,4.2
Toby Bailey,1999,SG,23,PHO,27,10,9.2,1.3,3.2,0.395,0,0.2,0.2,1.2,3,0.407,0.401,0.3,0.5,0.692,0.9,1.1,2,0.5,0.3,0.1,0.4,0.9,2.9
Mark Baker,1999,PG,29,TOR,1,0,2,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,1,0,0
Vin Baker,1999,PF,27,SEA,34,31,34.2,5.8,12.9,0.453,0,0.1,0,5.8,12.8,0.456,0.453,2.1,4.7,0.45,2.5,3.7,6.2,1.6,0.9,1,2.2,3.6,13.8
Charles Barkley*,1999,PF,35,HOU,42,40,36.3,5.7,12,0.478,0.1,0.6,0.16,5.6,11.4,0.495,0.482,4.6,6.4,0.719,4,8.3,12.3,4.6,1,0.3,2.4,2.1,16.1
Dana Barros,1999,PG,31,BOS,50,16,23.1,3.4,7.4,0.453,1.3,3.2,0.4,2.1,4.2,0.493,0.539,1.3,1.5,0.877,0.3,1.8,2.1,4.2,1,0.1,1.8,1.3,9.3
Brent Barry,1999,SG,27,CHI,37,30,31.9,3.8,9.6,0.396,1.4,4.6,0.302,2.4,5,0.484,0.469,2.1,2.7,0.772,1.1,2.8,3.9,3.1,1.1,0.3,1.9,2.6,11.1
Drew Barry,1999,SG,25,SEA,17,0,10.8,0.6,1.9,0.313,0.5,1.4,0.333,0.1,0.5,0.25,0.438,0.5,0.8,0.692,0.2,1,1.2,1.7,0.4,0.1,0.7,1.4,2.2
Jon Barry,1999,SG,29,SAC,43,0,17.1,1.4,3.2,0.428,0.6,1.8,0.304,0.8,1.4,0.593,0.514,1.7,2,0.845,0.6,1.7,2.2,2.6,1.2,0.1,1.1,1.4,5
Tony Battie,1999,C,22,BOS,50,15,22.4,2.9,5.7,0.519,0,0.1,0,2.9,5.6,0.525,0.519,0.8,1.2,0.672,1.9,4.1,6,1.1,0.6,1.4,0.9,3.2,6.7
Corey Beck,1999,PG,27,TOT,24,0,7.5,0.8,1.6,0.462,0,0,1,0.7,1.6,0.447,0.474,0.3,0.6,0.533,0.3,0.9,1.2,0.8,0.4,0.1,0.5,1.1,1.9
Corey Beck,1999,PG,27,DET,8,0,3.8,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0.3,0.3,1,0.4,0.3,0.6,0,0.3,0,0.3,0.6,1.3
Corey Beck,1999,PG,27,CHH,16,0,9.4,0.9,1.9,0.452,0.1,0.1,1,0.8,1.9,0.433,0.468,0.4,0.8,0.462,0.2,1.3,1.4,1.3,0.4,0.1,0.7,1.3,2.2
Benoit Benjamin,1999,C,34,PHI,6,0,5.5,0.3,1.2,0.286,0,0,,0.3,1.2,0.286,0.286,0,0,,0.5,0.8,1.3,0.2,0,0,0.5,1,0.7
Corey Benjamin,1999,PG,20,CHI,31,1,10.3,1.4,3.8,0.376,0.1,0.5,0.214,1.3,3.3,0.398,0.389,0.9,1.3,0.675,0.5,0.8,1.3,0.3,0.4,0.3,0.7,1.5,3.8
Mario Bennett,1999,PF,25,CHI,3,0,6.3,0.7,2,0.333,0,0,,0.7,2,0.333,0.333,1,1.3,0.75,0.7,1,1.7,0,0.3,0,0.3,1.3,2.3
Travis Best,1999,PG,26,IND,49,0,21.3,2.6,6.2,0.416,0.4,1.2,0.373,2.1,5,0.427,0.452,1.4,1.7,0.843,0.4,1.2,1.6,3.4,0.9,0.1,1.3,2.3,7.1
Mike Bibby,1999,PG,20,VAN,50,50,35.2,5.2,12.1,0.43,0.3,1.5,0.203,4.9,10.6,0.461,0.442,2.5,3.4,0.751,0.6,2.1,2.7,6.5,1.6,0.1,2.9,2.4,13.2
Chauncey Billups,1999,SG,22,DEN,45,41,33.1,4.2,11,0.386,1.9,5.2,0.362,2.4,5.8,0.408,0.472,3.5,3.8,0.913,0.5,1.6,2.1,3.8,1.3,0.3,2.2,2.6,13.9
Mookie Blaylock,1999,PG,31,ATL,48,48,36.7,5.1,13.6,0.379,1.6,5.2,0.307,3.5,8.3,0.425,0.439,1.4,1.9,0.758,0.9,3.7,4.7,5.8,2.1,0.2,2.4,1.3,13.3
