Player,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Kareem Abdul-Jabbar,1970,1989,1560,36.8,24.6,11.2,3.6,0.9,2.6,0.559,0.056,0.721,273.4,0.228
Ray Allen,1997,2014,1300,35.6,18.9,4.1,3.4,1.1,0.2,0.452,0.4,0.894,145.1,0.15
Giannis Antetokounmpo,2014,2023,658,32.6,21.9,9.4,4.6,1.2,1.3,0.535,0.289,0.717,88.1,0.197
Carmelo Anthony,2004,2022,1260,34.5,22.5,6.2,2.7,1,0.5,0.447,0.355,0.814,108.5,0.12
Tiny Archibald,1971,1984,876,35.6,18.8,2.3,7.4,1.1,0.1,0.467,0.224,0.81,83.4,0.128
Charles Barkley,1985,2000,1073,36.7,22.1,11.7,3.9,1.5,0.8,0.541,0.266,0.735,177.2,0.216
Larry Bird,1980,1992,897,38.4,24.3,10,6.3,1.7,0.8,0.496,0.376,0.886,145.8,0.203
Kobe Bryant,1997,2016,1346,36.1,25,5.2,4.7,1.4,0.5,0.447,0.329,0.837,172.7,0.17
Dave Cowens,1971,1983,766,38.6,17.6,13.6,3.8,1.1,0.9,0.46,0.071,0.783,86.3,0.14
Stephen Curry,2010,2023,830,34.3,24.3,4.7,6.5,1.7,0.2,0.473,0.428,0.908,120.8,0.203
Anthony Davis,2013,2023,607,34.4,23.8,10.2,2.3,1.4,2.3,0.515,0.302,0.794,91.7,0.21
Clyde Drexler,1984,1998,1086,34.6,20.4,6.1,5.6,2,0.7,0.472,0.318,0.788,135.6,0.173
Tim Duncan,1998,2016,1392,34,19,10.8,3,0.7,2.2,0.506,0.179,0.696,206.4,0.209
Kevin Durant,2008,2023,942,36.7,27.2,7.1,4.3,1.1,1.1,0.496,0.384,0.884,155.5,0.216
Julius Erving,1977,1987,836,34.3,22,6.7,3.9,1.8,1.5,0.507,0.261,0.777,106.2,0.178
Patrick Ewing,1986,2002,1183,34.3,21,9.8,1.9,1,2.4,0.504,0.152,0.74,126.4,0.15
Kevin Garnett,1996,2016,1462,34.5,17.8,10,3.7,1.3,1.4,0.497,0.275,0.789,191.4,0.182
George Gervin,1977,1986,791,33.5,26.2,4.6,2.8,1.2,0.8,0.511,0.297,0.844,88.1,0.159
