Player,Rank
Stephen Curry,50
LeBron James,49
Kobe Bryant,48
James Harden,47
Michael Jordan,46
Kevin Durant,45
Magic Johnson,44
Larry Bird,43
Kawhi Leonard,42
Jason Kidd,41
Allen Iverson,40
Dirk Nowitzki,39
Chris Paul,38
Shaquille O'Neal,37
Tim Duncan,36
Scottie Pippen,35
Russell Westbrook,34
Kevin Garnett,33
Carmelo Anthony,32
Steve Nash,31
Charles Barkley,30
Clyde Drexler,29
Anthony Davis,28
David Robinson,27
Damian Lillard,26
James Worthy,25
Reggie Miller,24
Hakeem Olajuwon,23
Giannis Antetokounmpo,22
Dwyane Wade,21
Ray Allen,19
Julius Erving,20
Dennis Rodman,18
Patrick Ewing,17
Gary Payton,16
Bill Walton,15
Robert Parish,14
Kareem Abdul-Jabbar,13
Moses Malone,12
Isiah Thomas,11
John Stockton,10
George Gervin,9
Karl Malone,8
Paul Pierce,7
Dominique Wilkins,6
Kevin McHale,5
Bob McAdoo,4
Elvin Hayes,3
Tiny Archibald,2
Dave Cowens,1
