Player,Rank
Magic Johnson,50
LeBron James,49
Trae Young,48
Michael Jordan,47
Luka Dončić,46
Chris Paul,45
Larry Bird,44
James Harden,43
Damian Lillard,42
Stephen Curry,41
Russell Westbrook,40
Kevin Durant,39
Nikola Jokić,38
John Stockton,37
Kevin Johnson,36
Ja Morant,35
Allen Iverson,34
John Wall,33
Kyrie Irving,32
Isiah Thomas,31
Giannis Antetokounmpo,30
Charles Barkley,29
Tim Hardaway,28
Tyrese Haliburton,27
Anthony Davis,26
Karl-Anthony Towns,25
Joel Embiid,24
Ben Simmons,23
Clyde Drexler,22
Kobe Bryant,21
Jason Kidd,20
Zion Williamson,19
Karl Malone,18
Alex English,17
LaMelo Ball,16
Donovan Mitchell,15
Steve Nash,14
Stephon Marbury,13
Dwyane Wade,12
Gary Payton,11
Adrian Dantley,10
De'Aaron Fox,9
Deron Williams,8
Kemba Walker,7
Jimmy Butler,6
Gus Williams,5
Devin Booker,4
Kawhi Leonard,3
Mark Price,2
Norm Nixon,1
