"Player","SProd"
"Magic Johnson",30.6444166666667
"LeBron James",29.4230526315789
"Trae Young",28.62075
"Michael Jordan",28.4042307692308
"Luka Dončić",28.297
"Chris Paul",27.1140588235294
"Larry Bird",26.9342727272727
"James Harden",26.2783571428571
"Damian Lillard",25.9602
"Stephen Curry",25.5455833333333
"Russell Westbrook",25.3594285714286
"Kevin Durant",25.0274285714286
"Nikola Jokić",24.243
"John Stockton",24.2010526315789
"Kevin Johnson",23.561
"Ja Morant",23.4093333333333
"Allen Iverson",23.2915
"John Wall",23.2855
"Kyrie Irving",22.9196
"Isiah Thomas",22.7268461538462
"Giannis Antetokounmpo",22.1527777777778
"Charles Barkley",22.1302666666667
"Tim Hardaway",22.0536923076923
"Tyrese Haliburton",21.9913333333333
"Anthony Davis",21.9367
"Karl-Anthony Towns",21.6454285714286
"Joel Embiid",21.5766666666667
"Ben Simmons",21.56325
"Clyde Drexler",21.4644375
"Kobe Bryant",21.3905263157895
"Jason Kidd",21.3549523809524
"Zion Williamson",21.3425
"Karl Malone",21.2636315789474
"Alex English",20.8095454545455
"LaMelo Ball",20.723
"Donovan Mitchell",20.6882
"Steve Nash",20.6017058823529
"Stephon Marbury",20.4546428571429
"Dwyane Wade",20.2067647058824
"Gary Payton",20.1675
"Adrian Dantley",19.9836363636364
"De'Aaron Fox",19.9164
"Deron Williams",19.8412307692308
"Kemba Walker",19.8105454545455
"Jimmy Butler",19.6201818181818
"Gus Williams",19.5895
"Devin Booker",19.5375714285714
"Kawhi Leonard",19.4333333333333
"Mark Price",19.4113
"Norm Nixon",19.4105714285714
